step,dataset,labels_micro_f1,labels_macro_f1,labels_jaccard,openness_accuracy,openness_f1,openness_precision_macro,openness_precision_micro,openness_recall_macro,openness_recall_micro,num_samples,predictions_file,eval_dir,model
18,labels_only_test,0.8075370121130552,0.6700679575078738,0.6761723700887198,0.6844106463878327,0.6694610248138592,0.6856638245137544,0.6844106463878327,0.7043753643695637,0.6844106463878327,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+18.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-18,gemma
19,labels_only_test,0.8060522696011004,0.6698556890607068,0.6756653992395437,0.6806083650190115,0.6659086141339977,0.6801519468186136,0.6806083650190115,0.7051142106327067,0.6806083650190115,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+19.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-19,gemma
20,labels_only_test,0.807799442896936,0.666060838519069,0.6832337497736737,0.7452471482889734,0.7425004221988221,0.7601478250333212,0.7452471482889734,0.7458843450722586,0.7452471482889734,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+20.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-20,gemma
21,labels_only_test,0.8201634877384196,0.6734125354313444,0.7264168024624299,0.752851711026616,0.7532422874528104,0.781420634920635,0.752851711026616,0.7476339048991777,0.752851711026616,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+21.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-21,gemma
22,labels_only_test,0.8173207036535859,0.6641497895705928,0.725375701611443,0.7300380228136882,0.730568458737003,0.7750909563409564,0.7300380228136882,0.7177167834114074,0.7300380228136882,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+22.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-22,gemma
23,labels_only_test,0.821954484605087,0.6668576066899801,0.7351982618142313,0.7414448669201521,0.7411798342138635,0.7777795964353403,0.7414448669201521,0.7367867511564614,0.7414448669201521,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+23.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-23,gemma
24,labels_only_test,0.8183041722745625,0.6590178394325888,0.722207133804092,0.7300380228136882,0.727473852569882,0.7332377682918013,0.7300380228136882,0.7373896637692878,0.7300380228136882,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+24.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-24,gemma
25,labels_only_test,0.8021828103683493,0.6438251109659091,0.6976190476190476,0.6920152091254753,0.6902881398926012,0.6903498800050524,0.6920152091254753,0.7031531333585278,0.6920152091254753,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+25.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-25,gemma
26,labels_only_test,0.8,0.6427465601154861,0.690014484881405,0.6920152091254753,0.6876428056185635,0.6901027077497667,0.6920152091254753,0.7124516981452674,0.6920152091254753,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+26.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-26,gemma
27,labels_only_test,0.79890560875513,0.6404601060137337,0.686845917074054,0.6920152091254753,0.6834901252802196,0.6862441562720963,0.6920152091254753,0.7097623211842633,0.6920152091254753,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+27.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-27,gemma
28,labels_only_test,0.8010899182561307,0.6409195189655611,0.6937533948940793,0.6920152091254753,0.6823396036297354,0.6877375085916659,0.6920152091254753,0.7092244457920626,0.6920152091254753,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+28.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-28,gemma
29,labels_only_test,0.8127490039840638,0.6814992714843017,0.720785804816223,0.6806083650190115,0.6647464009154023,0.6822676129198125,0.6806083650190115,0.7009389382527252,0.6806083650190115,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+29.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-29,gemma
